                                                       Access privileges
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_10006 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_10007 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_113   | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_12001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_27    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_46    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_6001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_6002  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_6003  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_6004  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_6005  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_6006  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_6007  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_7001  | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201510_75    | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201511_10001 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
 aggregated_ild | ild_hourly_detailed_201511_10002 | table | arbtrucks=arwdDxt/arbtrucks+| 
                |                                  |       | undergrad_rschr=r/arbtrucks | 
